n 	 cycles 	 seconds	flops	flops/cycle	% of peak
100	2643225	0.001017	2000000	0.7566514391	37.8325719528
200	20203024	0.00777	16000000	0.7919606491	39.598032453
300	65568256	0.025219	54000000	0.8235692589	41.178462944
400	155679888	0.059877	128000000	0.8221999749	41.1099987431
500	295686932	0.113726	250000000	0.8454888361	42.2744418073
600	524852188	0.201866	432000000	0.8230888808	41.1544440394
700	830414454	0.31939	686000000	0.8260935208	41.3046760383
800	1305300902	0.502039	1024000000	0.7844934439	39.2246721975
900	1970483238	0.757878	1458000000	0.7399200216	36.9960010794
1000	2860245746	1.100095	2000000000	0.6992406169	34.9620308464
1100	3846482604	1.479416	2662000000	0.6920608447	34.6030422344
1200	4863095472	1.870421	3456000000	0.7106584726	35.5329236275
1300	6229534922	2.395975	4394000000	0.7053496056	35.2674802776
1400	7794312422	2.997812	5488000000	0.7041031592	35.2051579592
1500	9480248662	3.646249	6750000000	0.7120066404	35.6003320201
1600	11576556340	4.452522	8192000000	0.7076370347	35.3818517329
1700	13798483868	5.307109	9826000000	0.7121072209	35.6053610455
1800	16437128892	6.321973	11664000000	0.709612979	35.4806489523
1900	19225955392	7.394598	13718000000	0.7135146067	35.6757303351
2000	22366313386	8.602428	16000000000	0.7153615227	35.7680761328
